Día,GDD_Acumulado,Tmax,Tmin,Altura (cm),LAI (m2/m2),Luz_Interceptada (f),ET_Diaria (mm),BBCH
1,12.3,28.12,12.48,7.19,0.14,0.08,0.13,10 - Emergencia/Inicio de Hoja
2,18.96,19.61,9.71,9.86,0.23,0.13,0.28,10 - Emergencia/Inicio de Hoja
3,31.72,29.47,12.04,16.65,0.49,0.26,0.48,10 - Emergencia/Inicio de Hoja
4,36.81,16.37,9.83,20.0,0.64,0.32,0.8,10 - Emergencia/Inicio de Hoja
5,46.36,21.46,13.64,27.19,0.97,0.44,0.74,10 - Emergencia/Inicio de Hoja
6,56.16,26.17,9.43,35.72,1.38,0.56,1.53,10 - Emergencia/Inicio de Hoja
7,63.08,24.82,5.01,42.33,1.7,0.64,1.76,10 - Emergencia/Inicio de Hoja
8,71.5,20.29,12.55,50.9,2.12,0.72,2.42,10 - Emergencia/Inicio de Hoja
9,83.08,27.66,11.49,63.3,2.71,0.8,2.79,10 - Emergencia/Inicio de Hoja
10,94.3,29.09,9.36,75.65,3.28,0.86,3.79,10 - Emergencia/Inicio de Hoja
11,103.07,23.91,9.62,85.28,3.7,0.89,4.6,10 - Emergencia/Inicio de Hoja
12,111.16,19.93,12.25,94.01,4.07,0.91,3.73,10 - Emergencia/Inicio de Hoja
13,123.36,29.87,10.53,106.65,4.58,0.94,4.52,10 - Emergencia/Inicio de Hoja
14,135.7,26.98,13.71,118.61,5.03,0.95,4.91,10 - Emergencia/Inicio de Hoja
15,144.3,22.63,10.58,126.36,5.3,0.96,6.05,10 - Emergencia/Inicio de Hoja
16,154.16,24.8,10.91,134.59,5.57,0.96,4.55,10 - Emergencia/Inicio de Hoja
17,158.54,16.07,8.69,138.02,5.67,0.97,4.78,10 - Emergencia/Inicio de Hoja
18,168.12,29.53,5.64,145.05,5.89,0.97,4.87,10 - Emergencia/Inicio de Hoja
19,175.65,17.68,13.38,150.11,6.03,0.97,7.06,10 - Emergencia/Inicio de Hoja
20,184.44,21.11,12.47,155.53,6.18,0.98,6.48,10 - Emergencia/Inicio de Hoja
21,194.87,27.21,9.66,161.3,6.32,0.98,6.79,10 - Emergencia/Inicio de Hoja
22,204.09,23.8,10.63,165.84,6.43,0.98,6.56,10 - Emergencia/Inicio de Hoja
